post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,Texas wins second straight Women's College World Series title | FINAL OUT,Must Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for Softball fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post second,Post ASAP,"What happened, who stood out, and why it matters for Golf / LPGA fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
3,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
4,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Maybe Post,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Make if time today,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.","Strong candidate, but not mandatory."
5,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Downgraded from Must Post because the daily Must Post cap was reached.
6,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for 2026-27",Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,"Quick hit: Purdue Women's Basketball Big Ten Home, Road Opponents Announced for 2026-27","Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",Useful but not urgent.
7,"Big Ten announces home, road matchups for Wisconsin women's basketball",Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,"Quick hit: Big Ten announces home, road matchups for Wisconsin women's basketball","Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",Useful but not urgent.
8,Toronto Sceptres Pushing Through Expansion Process,Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.",Useful but not urgent.
9,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
10,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in PWHL expansion team moves",Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.",Useful but not urgent.
